Flight No.,Date,Year,Time,Class,Launch outcome,Launch Site,Lat,Long,Hour,Launch site,Payload,Payload Mass(kg),Orbit,Customer,Company,Ownership,Industry,Continent,Country,Booster Family,Version Booster,Booster landing,Description
49,2018-02-22,2018,14:17:00,0,Success,VAFB,34.632834,-120.610746,14,VAFB,Paz,2150.0,SSO,Hisdesat,Hisdesat,Private,Communications,Europe,Spain,F9-FTB1,F9 FTB1038.2,No attempt,Last flight of a Block 3 first stage. Reused the booster from the Formosat-5 mission.[268] Paz (peace) is Spain's first spy satellite[272] that will be operated in a constellation with the German SAR fleet TSX and TDX.[269] In addition the rocket carried two SpaceX test satellites for their forthcoming communications network in low Earth orbit.[273][270] This core flew without landing legs and was expended at sea.[273] It also featured an upgraded payload fairing 2.0 with a first recovery attempt using the Mr. Steven crew boat equipped with a net. The fairing narrowly missed the boat but achieved a soft water landing.[274][275][271]
50,2018-03-06,2018,05:33:00,0,Success,CCAFS,28.562302,-80.577356,5,CCAFS,Hispasat 30W-6,6092.0,GTO,Hispasat,Hispasat,Private,Communications,South America,Panama,F9-B4,F9 B4,No attempt,"The Spanish commsat was the largest satellite flown by SpaceX as of March 2018[update] ""nearly the size of a bus"".[282] A drone ship landing was planned but scrapped due to unfavorable weather conditions.[281] SpaceX left the landing legs and titanium grid fins in place to prevent further delays after previous concerns with the fairing pressurization and conflicts with the launch of GOES-S.[283] The Hispasat 30W-6 satellite was propelled into a supersynchronous transfer orbit.[284]"
51,2018-03-30,2018,14:14:00,0,Success,VAFB,34.632834,-120.610746,14,VAFB,Iridium NEXT,9600.0,Polar,Iridium Communications,Iridium Communications,Private,Communications,North America,USA,F9-B4B1,F9 B4B1041.2,No attempt,Fifth Iridium NEXT mission launch of 10 satellites used the refurbished booster from third Iridium flight. As with recent reflown boosters SpaceX used the controlled descent of the first stage to test more booster recovery options.[288] SpaceX planned a second recovery attempt of one half of the fairing using the specially modified boat Mr. Steven[289] but the parafoil twisted which led to the fairing half missing the boat.[290]
52,2018-04-02,2018,20:30:00,0,Success,CCAFS,28.562302,-80.577356,20,CCAFS,SpaceX CRS-14,2647.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-B4B1,F9 B4B1039.2,No attempt,The launch used a refurbished booster (from CRS-12) and a refurbished capsule (C110 from CRS-8).[292] External payloads include a materials research platform Materials International Space Station Experiment (MISSE-FF)[295] phase 3 of the Robotic Refueling Mission (RRM)[296] TSIS[297] ASIM heliophysics sensor[192] several crystallization experiments[298] and the RemoveDEBRIS system aimed at space debris removal.[299] The booster was expended and SpaceX collected more data on reentry profiles.[300] It also carried the first Costa Rican satellite Project Irazú[301] and the first Kenyan satellite 1KUNS-PF.[302]
53,2018-04-18,2018,22:51:00,1,Success,CCAFS,28.562302,-80.577356,22,CCAFS,Transiting Exoplanet Survey Satellite,362.0,HEO,NASA,NASA,Government,Aerospace,North America,USA,F9-B4,F9 B4,Success,"First NASA high-priority science mission launched by SpaceX. Part of the Explorers program TESS is space telescope intended for wide-field search of exoplanets transiting nearby stars. It was the first time SpaceX launched a scientific satellite which wasn't designed to focus on Earth observations. The second stage placed the spacecraft into a high elliptical Earth orbit after which the satellite performed its own maneuvers including a lunar flyby such that over the course of two months it reached a stable 2:1 resonant orbit with the Moon.[307] In January 2018 SpaceX received NASA's Launch Services Program Category 2 certification of its Falcon 9 ""Full Thrust"" certification which is required for launching ""medium-risk"" missions like TESS.[308] Last launch of a new Block 4 booster[309] and the 24th successful recovery of the first stage. An experimental water landing of the launch fairing was performed in order to attempt fairing recovery primarily as a test of parachute systems.[305][306]"
54,2018-05-11,2018,20:14:00,1,Success,KSC,28.608954234362187,-80.60429756306883,20,KSC,Bangabandhu-1,3600.0,GTO,Thales-Alenia,Thales-Alenia,Private,Aerospace,Europe,Italy,F9-B5B1,F9 B5B1046.1,Success,First Block 5 launch vehicle booster to fly. Initially planned for an Ariane 5 launch in December 2017[316] it became the first Bangladeshi commercial satellite[317] BRAC Onnesha is a cubesat built by Thales Alenia Space.[318][319] It is intended to serve telecom services from 119.0° east with a lifetime of 15 years.[320] It was the 25th successfully recovered first stage booster.[315]
55,2018-05-22,2018,19:47:00,0,Success,VAFB,34.632834,-120.610746,19,VAFB,Iridium NEXT,6460.0,Polar,Iridium Communications,Iridium Communications,Private,Communications,North America,USA,F9-B4B1,F9 B4B1043.2,No attempt,Sixth Iridium NEXT mission launching 5 satellites used the refurbished booster from Zuma. GFZ arranged a rideshare of GRACE-FO on a Falcon 9 with Iridium following the cancellation of their Dnepr launch contract in 2015.[323] Iridium CEO Matt Desch disclosed in September 2017 that GRACE-FO would be launched on this mission.[328] The booster reuse turnaround was a record 4.5 months between flights.[329]
56,2018-06-04,2018,04:45:00,0,Success,CCAFS,28.562302,-80.577356,4,CCAFS,SES-12,5384.0,GTO,SES,SES,Private,Satellite,Europe,Luxembourg,F9-B4B1,F9 B4B1040.2,No attempt,The communications satellite serving the Middle East and the Asia-Pacific region at the same place as SES-8 and was the largest satellite built for SES.[331] The Block 4 first stage was expended[332] while the second stage was a Block 5 version delivering more power towards a higher supersynchronous transfer orbit with 58000 km (36000 mi) apogee.[334]
57,2018-06-29,2018,09:42:00,0,Success,CCAFS,28.562302,-80.577356,9,CCAFS,SpaceX CRS-15,2697.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-B4B1,F9 B4B1045.2,No attempt,Payload included MISSE-FF 2 ECOSTRESS a Latching End Effector and Birds-2 payloads. The refurbished booster featured a record 2.5 months period turnaround from its original launch of TESS a record held until February 2020 with the Starlink L4 mission. The fastest previous was 4.5 months. This was the last flight of a Block 4 booster which was expended into the Atlantic Ocean without landing legs and grid fins.[339]
58,2018-07-22,2018,05:50:00,1,Success,CCAFS,28.562302,-80.577356,5,CCAFS,Telstar 19V,7075.0,GTO,Telesat,Telesat,Private,Communications,North America,Canada,F9-B5,F9 B5,Success,SSL-manufactured communications satellite intended to be placed at 63.0° west over the Americas[345] replacing Telstar 14R.[343] At 7075  (15598 lb) it became the heaviest commercial communications satellite so far launched.[346][347] This necessitated that the satellite be launched into a lower-energy orbit than a usual GTO with its initial apogee at roughly 17900 km (11100 mi).[343]
59,2018-07-25,2018,11:39:00,1,Success,VAFB,34.632834,-120.610746,11,VAFB,Iridium NEXT,9600.0,Polar,Iridium Communications,Iridium Communications,Private,Communications,North America,USA,F9-B5B1,F9 B5B1048,Success,Seventh Iridium NEXT launch with 10 communication satellites.[351] The booster landed safely on the drone ship in the worst weather conditions for any landing yet attempted.[352][351] Mr. Steven boat with an upgraded 4x size net was used to attempt fairing recovery but failed due to harsh weather.[352][351]
60,2018-08-07,2018,05:18:00,1,Success,CCAFS,28.562302,-80.577356,5,CCAFS,Merah Putih,5800.0,GTO,Telkom Indonesia,Telkom Indonesia,Private,Communications,Asia,Indonesia,F9-B5B1,F9 B5B1046.2,Success,Indonesian comsat intended to replace the aging Telkom 1 at 108.0° East.[359] First reflight of a Block 5-version booster.[360]
61,2018-09-10,2018,04:45:00,1,Success,CCAFS,28.562302,-80.577356,4,CCAFS,Telstar 18V,7060.0,GTO,Telesat,Telesat,Private,Communications,North America,Canada,F9-B5,F9 B5,Success,Condosat for 138.0° East over Asia and Pacific.[362] Delivered to a GTO orbit with apogee close to 18000 km (11000 mi).[361]
62,2018-10-08,2018,02:22:00,1,Success,VAFB,34.632834,-120.610746,2,VAFB,SAOCOM 1A,3000.0,SSO,CONAE,CONAE,Government,Aerospace,South America,Argentina,F9-B5B1,F9 B5B1048.2,Success,Argentinian Earth-observation satellite was originally intended to be launched in 2012.[365] First landing on the West Coast ground pad.[363]
63,2018-11-15,2018,20:46:00,1,Success,KSC,28.608954234362187,-80.60429756306883,20,KSC,Es'hail 2,5300.0,GTO,Es'hailSat,Es'hailSat,Private,Satellite,Asia,Qatar,F9-B5B1,F9 B5B1047.2,Success,Qatari comsat positioned at 26.0° east.[368] This launch used redesigned COPVs. This was to meet NASA safety requirements for commercial crew missions in response to the September 2016 pad explosion.[371]
64,2018-12-03,2018,18:34:05,1,Success,VAFB,34.632834,-120.610746,18,VAFB,SSO-A,4000.0,SSO,Spaceflight Industries,Spaceflight Industries,Private,Aerospace,North America,USA,F9-B5B1,F9 B5B1046.3,Success,Rideshare mission[374] where two SHERPA dispensers deployed 64 small satellites[375][376] including Eu:CROPIS[377] for the German DLR HIBER-2 for the Dutch Hiber Global[378] ITASAT-1 for the Brazilian Instituto Tecnológico de Aeronáutica[379] two high-resolution SkySat imaging satellites for Planet Labs[380] and two high school CubeSats part of NASA's ELaNa 24.[381] This was the first time a booster was used for a third flight.
65,2018-12-05,2018,18:16:00,0,Success,CCAFS,28.562302,-80.577356,18,CCAFS,SpaceX CRS-16,2500.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-B5,F9 B5,Failure,First CRS mission with the Falcon 9 Block 5. This carried the Global Ecosystem Dynamics Investigation lidar (GEDI) as an external payload.[384] The mission was delayed by one day due to moldy rodent food for one of the experiments on the Space Station. A previously flown Dragon spacecraft was used for the mission. The booster in use for the first time experienced a grid fin hydraulic pump stall on reentry which caused it to spin out of control and touchdown at sea heavily damaging the interstage section; this was the first failed landing targeted for a ground pad.[383][385]
66,2018-12-23,2018,13:51:00,0,Success,CCAFS,28.562302,-80.577356,13,CCAFS,GPS III,4400.0,MEO,USAF,USAF,Government,Defense,North America,USA,F9-B5,F9 B5,No attempt,Initially planned for a Delta IV launch[389] this was SpaceX's first launch of an EELV-class payload.[390] There was no attempt to recover the first-stage booster for reuse[391][387] due to the customer's requirements including a high inclination orbit of 55.0°.[392] Nicknamed Vespucci the USAF marked the satellite operational on 1 January 2020 under the label SVN 74.[393]
67,2019-01-11,2019,15:31:00,1,Success,VAFB,34.632834,-120.610746,15,VAFB,Iridium NEXT,9600.0,Polar,Iridium Communications,Iridium Communications,Private,Communications,North America,USA,F9-B5B1,F9 B5B1049.2,Success,Final launch of the Iridium NEXT contract launching 10 satellites.
68,2019-02-22,2019,01:45:00,1,Success,CCAFS,28.562302,-80.577356,1,CCAFS,Nusantara Satu,4850.0,GTO,PSN,PSN,Private,Communications,Asia,Indonesia,F9-B5B1,F9 B5B1048.3,Success,"Nusantara Satu is a private Indonesian comsat planned to be located at 146.0° east[400] with a launch mass of 4100  (9000 lb)[403] and featuring electric propulsion for orbit-raising and station-keeping.[404][405] S5 a 60- smallsat by the Air Force Research Laboratory (AFRL) was piggybacked on Nusantara Satu and was deployed near its GEO position to perform a classified space situational awareness mission. This launch opportunity was brokered by Spaceflight Industries as ""GTO-1"".[402]The Beresheet Moon lander (initially called Sparrow) was one of the candidates for the Google Lunar X-Prize whose developers SpaceIL had secured a launch contract with Spaceflight Industries in October 2015.[406] Its launch mass was 585  (1290 lb) including fuel.[407] After separating into a supersynchronous transfer orbit[408] with an apogee of 69400 km (43100 mi)[409][407] Beresheet raised its orbit by its own power over two months and flew to the Moon.[408][410] After successfully getting into lunar orbit Beresheet attempted to land on the Moon on 11 April 2019 but failed.[411]"
69,2019-03-02,2019,07:49:00,1,Success,KSC,28.608954234362187,-80.60429756306883,7,KSC,Crew Dragon Demo-1,12055.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-B5B2,F9 B5[268],Success,First flight of the SpaceX Crew Dragon. This was the first demonstration flight for the NASA Commercial Crew Program which awarded SpaceX a contract in September 2014 with flights hoped as early as 2015.[416] The Dragon performed an autonomous docking to the ISS 27 hours after launch with the hatch being opened roughly 2 hours later.[417] The vehicle spent nearly a week docked to the ISS to test critical functions. It undocked roughly a week later on 8 March 2019 and splashed down six hours later at 13:45.[418] The Dragon used on this flight was scheduled to fly on the inflight abort test in mid-2019 but was destroyed during testing.[419] The booster B1051.1 replaced B1050[420] and flew again on 12 June 2019.
70,2019-05-04,2019,06:48:00,1,Success,CCAFS,28.562302,-80.577356,6,CCAFS,SpaceX CRS-17,2495.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-B5,F9 B5,Success,A Commercial Resupply Service mission to the International Space Station carrying nearly 2.5 tons of cargo including the Orbiting Carbon Observatory-3 as an external payload.[432] Originally planned to land at Landing Zone 1 the landing was moved to the drone ship after a Dragon 2 had an anomaly during testing at LZ-1.[433]
71,2019-05-24,2019,02:30:00,1,Success,CCAFS,28.562302,-80.577356,2,CCAFS,Starlink,13620.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5B1,F9 B5B1049.3,Success,"Following the launch of the two Tintin test satellites this was the first full-scale test launch of the Starlink constellation launching ""production design"" satellites.[435][436][437] Each Starlink satellite has a mass of 227  (500 lb)[438] and the combined launch mass was 13620  (30030 lb) the heaviest payload launched by SpaceX at that time.[439] The fairings were recovered[440] and reused for Starlink L5 in March 2020.[441] These are the first commercial satellites to use krypton as fuel for their ion thrusters which is cheaper than the usual xenon fuel.[442]"
72,2019-06-12,2019,14:17:00,1,Success,VAFB,34.632834,-120.610746,14,VAFB,RADARSAT Constellation,4200.0,SSO,Canadian Space Agency,Canadian Space Agency,Government,Aerospace,North America,Canada,F9-B5B1,F9 B5B1051.2,Success,A trio of satellites built for Canada's RADARSAT program were launched that plan to replace the aging Radarsat-1 and Radarsat-2. The new satellites contain Automated Identification System (AIS) for locating ships and provide the world's most advanced comprehensive method of maintaining Arctic sovereignty conducting coastal surveillance and ensuring maritime security.[444][443] The mission was originally scheduled to lift off in February but due to the landing failure of booster B1050 this flight was switched to B1051 (used on Crew Dragon Demo-1) and delayed to allow refurbishment and transport to the West coast.[420] The booster landed safely through fog.[445] A payload cost of roughly US$1 billion made this SpaceX's second most expensive payload launched[446][447] and most valuable commercial payload so far put into orbit.[448]
73,2019-07-25,2019,22:01:00,1,Success,CCAFS,28.562302,-80.577356,22,CCAFS,SpaceX CRS-18,2268.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-B5B1,F9 B5B1056.2,Success,This launch carried nearly 9000 individual unique payloads including over one ton of science experiments the most so far launched on a SpaceX Dragon. The third International Docking Adapter (IDA-3) a replacement for the first IDA lost during the CRS-7 launch anomaly was one of the external payloads on this mission.[466] Along with food and science the Dragon also carried the ELaNa 27 RFTSat CubeSat[467] and MakerSat-1 which will be used to demonstrate microgravity additive manufacturing. The satellite is expected to be launched by a Cygnus dispenser later in July 2019.The booster used on this flight was the same used on CRS-17 earlier in the year; originally it was planned to reuse it again for the CRS-19 mission later this year[468] but the plan was scrapped. For the first time the twice flown Dragon spacecraft also made a third flight.[469] Also used for the first time was a gray-band painted where the RP-1 kerosene tank is located to help with thermal conductivity and thus saving fuel during long coasts.[470]
74,2019-08-06,2019,23:23:00,0,Success,CCAFS,28.562302,-80.577356,23,CCAFS,AMOS-17,6500.0,GTO,Spacecom,Spacecom,Government,Defense,North America,USA,F9-B5B1,F9 B5B1047.3,No attempt,AMOS-17 is the most advanced high-throughput satellite to provide satellite communication services to Africa.[475] Following the loss of AMOS-6 in September 2016 Spacecom was granted a free launch in compensation for the lost satellite.[476] Due to the free launch Spacecom was able to expend the booster with no extra cost that comes with expending a booster and thus could reach final orbit quicker. This booster became the second Block 5 booster to be expended.[474][477] For the second time Ms. Tree managed to catch a fairing half directly into its net.[478]
75,2019-11-11,2019,14:56:00,1,Success,CCAFS,28.562302,-80.577356,14,CCAFS,Starlink,15600.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5,F9 B5,Success,Second large batch of Starlink satellites and the first operational mission of the constellation it launched in a roughly 290 km (180 mi) orbit at an inclination of 53.0°. At 15600  (34400 lb) it is the heaviest payload so far launched by SpaceX breaking the record set by the Starlink v0.9 flight earlier that year.[5] This flight marked the first time that a Falcon 9 booster made a fourth flight and landing.[480] This was also the first time that a Falcon 9 re-used fairings (from ArabSat-6A in April 2019).[429] It was planned to recover the fairings with both Ms. Tree and Ms. Chief but the plan was abandoned due to rough seas.[5]
76,2019-12-05,2019,17:29:00,1,Success,CCAFS,28.562302,-80.577356,17,CCAFS,SpaceX CRS-19,2617.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-B5,F9 B5,Success,Second re-supply flight to use a Cargo Dragon for the third time.[484] This flight carried Robotic Tool Stowage (RiTS) a docking station that allows equipment that looks for leaks on the Space Station be stored on the outside. Also on board were upgrades for the Cold Atom Laboratory (CAL). Onboard experiments include the testing of the spread of fire in space mating barley in microgravity and experiments to test muscle and bone growth in microgravity.[485] Secondary payloads include the Hyperspectral Imager Suite (HISUI) an experiment to image high resolution across all colours of the light spectrum allowing for imaging of soil rocks vegetation snow ice and man-made objects. Additionally there were three CubeSats from NASA's ELaNa 28 mission[381] including the AztechSat-1 satellite built by students in Mexico.[485]
77,2019-12-17,2019,00:10:00,1,Success,CCAFS,28.562302,-80.577356,0,CCAFS,JCSat-18,6956.0,GTO,Sky Perfect JSAT,Sky Perfect JSAT,Private,Communications,Asia,Japan,F9-B5B1,F9 B5B1056.3,Success,Singaporean-Japanese CondoSat that will cover the Asia-Pacific region.[488] Due to the heavy weight of the payload it was injected into a lower energy sub-synchronous orbit of 20000 km (12000 mi); the satellite itself will transfer to full GTO. This was the third Falcon 9 launch for JSAT and the previous two were in 2016. SpaceX successfully landed B1056.3 but both fairing halves missed the recovery boats Ms. Tree and Ms. Chief.[489]
78,2020-01-07,2020,02:19:21,1,Success,CCAFS,28.562302,-80.577356,2,CCAFS,Starlink,15600.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5,F9 B5,Success,Third large batch and second operational flight of Starlink constellation. One of the 60 satellites included a test coating to make the satellite less reflective and thus less likely to interfere with ground-based astronomical observations.[493]
79,2020-01-19,2020,15:30:00,0,Success,KSC,28.608954234362187,-80.60429756306883,15,KSC,Crew Dragon in-flight abort test,12050.0,Sub-orbital,NASA,NASA,Government,Aerospace,North America,USA,F9-B5,F9 B5,No attempt,An atmospheric test of the Dragon 2 abort system after Max Q. The capsule fired its SuperDraco engines reached an apogee of 40 km (25 mi) deployed parachutes after reentry and splashed down in the ocean 31 km (19 mi) downrange from the launch site. The test was previously slated to be accomplished with the Crew Dragon Demo-1 capsule;[498] but that test article exploded during a ground test of SuperDraco engines on 20 April 2019.[419] The abort test used the capsule originally intended for the first crewed flight.[499] As expected the booster was destroyed by aerodynamic forces after the capsule aborted.[500] First flight of a Falcon 9 with only one functional stage — the second stage had a mass simulator in place of its engine.
80,2020-01-29,2020,14:07:00,1,Success,CCAFS,28.562302,-80.577356,14,CCAFS,Starlink,15600.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5,F9 B5,Success,Third operational and fourth large batch of Starlink satellites deployed in a circular 290 km (180 mi) orbit. One of the fairing halves was caught while the other was fished out of the ocean.[502]
81,2020-02-17,2020,15:05:00,0,Success,CCAFS,28.562302,-80.577356,15,CCAFS,Starlink,15600.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5,F9 B5,Failure,Fourth operational and fifth large batch of Starlink satellites. Used a new flight profile which deployed into a 212 km × 386 km (132 mi × 240 mi) elliptical orbit instead of launching into a circular orbit and firing the second stage engine twice. The first stage booster failed to land on the drone ship[504] due to incorrect wind data.[505] This was the first time a flight proven booster failed to land.
82,2020-03-07,2020,04:50:00,1,Success,CCAFS,28.562302,-80.577356,4,CCAFS,SpaceX CRS-20,1977.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-B5,F9 B5,Success,Last launch of phase 1 of the CRS contract. Carries Bartolomeo an ESA platform for hosting external payloads onto ISS.[508] Originally scheduled to launch on 2 March 2020 the launch date was pushed back due to a second stage engine failure. SpaceX decided to swap out the second stage instead of replacing the faulty part.[509] It was SpaceX's 50th successful landing of a first stage booster the third flight of the Dragon C112 and the last launch of the cargo Dragon spacecraft.
83,2020-03-18,2020,12:16:00,0,Success,KSC,28.608954234362187,-80.60429756306883,12,KSC,Starlink,15600.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5,F9 B5,Failure,Fifth operational launch of Starlink satellites. It was the first time a first stage booster flew for a fifth time and the second time the fairings were reused (Starlink flight in May 2019).[511] Towards the end of the first stage burn the booster suffered premature shut down of an engine the first of a Merlin 1D variant and first since the CRS-1 mission in October 2012. However the payload still reached the targeted orbit.[512] This was the second Starlink launch booster landing failure in a row later revealed to be caused by residual cleaning fluid trapped inside a sensor.[513]
84,2020-04-22,2020,19:30:00,1,Success,KSC,28.608954234362187,-80.60429756306883,19,KSC,Starlink,15600.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5,F9 B5,Success,Sixth operational launch of Starlink satellites. The 84th flight of the Falcon 9 rocket it surpassed Atlas V to become the most-flown operational US rocket.[515] Used fairings launched on AMOS-17 (August 2019).[516]
85,2020-05-30,2020,19:22:00,1,Success,KSC,28.608954234362187,-80.60429756306883,19,KSC,Crew Dragon Demo-2,12530.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-B5,F9 B5,Success,First crewed orbital spaceflight from American soil since Space Shuttle STS-135 in July 2011 carrying NASA astronauts Bob Behnken and Doug Hurley to the International Space Station.[414] The SpaceX live stream was peaked at 4.1 million viewers while NASA estimated roughly 10 million people watched on various online platforms and approximately 150000 people gathered on Florida's space coast despite the risks of the COVID-19 pandemic.[520]
86,2020-06-04,2020,01:25:00,1,Success,CCAFS,28.562302,-80.577356,1,CCAFS,Starlink,15600.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5,F9 B5,Success,"Seventh operational launch of Starlink satellites occurred on the 10th anniversary of the first Falcon 9 flight. Included ""VisorSat"" satellite test that uses a sunshade to limit reflectivity.[522] First booster to successfully land five times and first to land on Just Read The Instructions since it was moved to the East Coast."
87,2020-06-13,2020,09:21:00,1,Success,CCAFS,28.562302,-80.577356,9,CCAFS,Starlink,15410.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5,F9 B5,Success,Eighth operational launch of Starlink satellites included the first rideshare in SpaceX's SmallSat Program of three SkySat satellites.[526][527] One payload fairing half launched on JCSat-18 / Kacific 1 mission in December 2019. The other payload fairing half flew on Starlink 2 v1.0 in January 2020.[528] For the first time SpaceX did not perform a static fire before launch.
88,2020-06-30,2020,20:10:46,1,Success,CCAFS,28.562302,-80.577356,20,CCAFS,GPS III,4311.0,MEO,U.S. Space Force,U.S. Space Force,Government,Defense,North America,USA,F9-B5,F9 B5,Success,Payload manufacturing contract awarded January 2012[531] fully assembled in August 2017[532][533] and completed thermal vacuum testing in June 2018.[534] Launch contract was awarded initially for US$96.5 million[535] but later this was discounted in exchange for allowing to launch configuration enabling booster recovery.[536] The vehicle nicknamed Columbus was transported to Florida in February 2020[537] but launch was delayed by the customer from April 2020 due to the COVID-19 pandemic.[538] The launch was dedicated to the memory of the recently deceased late commander of the 21st Space Wing Colonel Thomas G. Falzarano[539][540] and after launch in October 2020 the nickname was changed to that of the Arctic explorer Matthew Henson.[541][390] The second stage featured a gray band to allow more heat to be absorbed during the longer coasting period[542] while both fairings were recovered out of the water without attempting a catch in the net.
89,2020-07-20,2020,21:30:00,1,Success,CCAFS,28.562302,-80.577356,21,CCAFS,ANASIS-II,6000.0,GTO,Republic of Korea Army,Republic of Korea Army,Government,Government,Asia,South Korea,F9-B5B1,F9 B5B1058.2,Success,At 5-6 tonnes the satellite formerly known as K-Milsat-1 is South Korea's first dedicated military satellite. Contracted by South Korea's Defense Acquisition Program Administration in 2014.[545] 57th successful recovery of a Falcon 9 first stage. For the first time both fairing halves were also successfully caught by fairing catching ships.[546] This launch featured a booster reflight within 51 days a new record turnaround time for a Falcon booster.[547] It was the same booster that launched the Crew Dragon Demo-2 spacecraft on 30 May 2020.[543] The satellite was delivered to a super-synchronous transfer orbit of 211 km × 45454 km (131 mi × 28244 mi) while both fairing halves were caught in the catch nets of the supports ships.[548]
90,2020-08-07,2020,05:12:00,1,Success,KSC,28.608954234362187,-80.60429756306883,5,KSC,Starlink,14932.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5,F9 B5,Success,"Ninth operational launch of Starlink satellites. This mission carried 57 Starlink satellites and two BlackSky satellites as rideshare.[550] This first rideshare contracted with Spaceflight Industries was dubbed internally as ""SXRS-1"".[551] After previously testing on a single Starlink the launch will have all 57 satellites include a ""VisorSat"" to reduce their brightness.[552]"
