Flight No.,Date,Year,Time,Class,Launch outcome,Launch Site,Lat,Long,Hour,Launch site,Payload,Payload Mass(kg),Orbit,Customer,Company,Ownership,Industry,Continent,Country,Booster Family,Version Booster,Booster landing,Description
91,2020-08-18,2020,14:31:00,1,Success,CCAFS,28.562302,-80.577356,14,CCAFS,Starlink,15440.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5B1,F9 B5B1049.6,Success,Tenth operational launch of Starlink satellites. Starlink flight including three SkySat rideshare satellites.[526] First time a booster made a 6th flight.[554] The fairings previously flew on Starlink 3 v1.0. One fairing half was caught by Go Ms. Tree the other was scooped out of the ocean.[526]
92,2020-08-30,2020,23:18:00,1,Success,CCAFS,28.562302,-80.577356,23,CCAFS,SAOCOM 1B,3130.0,SSO,CONAE,CONAE,Government,Aerospace,South America,Argentina,F9-B5,F9 B5,Success,The 100th launch in SpaceX's history first time a commercial launch on a fourth launch of a booster it deployed Earth-observing satellites built by Argentina's space agency CONAE and two rideshares. SpaceX was contracted in 2009 for an initial launch as early as 2013.[559] Originally planned for launch from Vandenberg but launched from Cape Canaveral which made it the first flight from there using the southern corridor to a polar orbit since 1969.[560][561]
93,2020-09-03,2020,12:46:14,1,Success,KSC,28.608954234362187,-80.60429756306883,12,KSC,Starlink,15600.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5B1,F9 B5B1060.2,Success,Eleventh operational launch of Starlink satellites bringing the total to 713 launched Starlink satellites.[562]
94,2020-10-06,2020,11:29:34,1,Success,KSC,28.608954234362187,-80.60429756306883,11,KSC,Starlink,15600.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5B1,F9 B5B1058.3,Success,Twelfth operational launch of Starlink satellites which for the first time used a fairing half on its third launch.[566] Also the B1058 holds the title for the shortest time a booster reached 3 flights which is 129 days beating B1046 by 77 days.
95,2020-10-18,2020,12:25:57,1,Success,KSC,28.608954234362187,-80.60429756306883,12,KSC,Starlink,15600.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5B1,F9 B5B1051.6,Success,Thirteenth operational launch of Starlink satellites. Second time a booster was flown six times and first time both fairing halves were flown a third time. Both fairing halves landed on their respective ships but one fairing broke the net on Ms Tree.[569]
96,2020-10-24,2020,15:31:34,1,Success,CCAFS,28.562302,-80.577356,15,CCAFS,Starlink,15600.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5,F9 B5,Success,Fourteenth operational launch of Starlink satellites and the 100th successful launch of a Falcon vehicle.[571]
97,2020-11-05,2020,23:24:23,1,Success,CCAFS,28.562302,-80.577356,23,CCAFS,GPS III,4311.0,MEO,USSF,USSF,Government,Defense,North America,USA,F9-B5,F9 B5,Success,Manufacturing contract awarded in January 2012[531] underwent thermal vacuum testing in December 2018[574] while the launch contract was awarded in March 2018.[575] A launch attempt on 3 October 2020 was aborted two seconds before liftoff due to early start in two engines.[576][577] Following the abort two engines from B1062 were sent for further testing.[578] The abort also caused delays to the Crew-1 launch to allow time for data review.[579][580]
98,2020-11-16,2020,00:27:00,1,Success,KSC,28.608954234362187,-80.60429756306883,0,KSC,Crew-1,12500.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-B5,F9 B5,Success,"First crew rotation of the commercial crew program following the return in August of the crewed test flight mission Crew Demo 2. Originally designated ""USCV-1"" by NASA. Carried astronauts Victor Glover Mike Hopkins Shannon Walker and Soichi Noguchi for a 6-month stay aboard the ISS during which the Boeing Starliner OFT flight launched but was unable to dock as expected.[583] The first flight of the crew program was initially expected to launch in 2017[584][585] and finished final certifications in November 2020.[586]"
99,2020-11-21,2020,17:17:08,1,Success,VAFB,34.632834,-120.610746,17,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),1192.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-B5,F9 B5,Success,Named after the former director of NASA's Earth science program it is a radar altimeter satellite part of the Ocean Surface Topography constellation located at 1336 km (830 mi) and 66° inclination and a follow-up to Jason 3 as a partnership between the United States (NOAA and NASA) Europe (EUMETSAT ESA CNES).[588]
100,2020-11-25,2020,02:13:00,1,Success,CCAFS,28.562302,-80.577356,2,CCAFS,Starlink,15600.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5,F9 B5 ♺,Success,First time a booster was launched for a seventh time and first time SpaceX completed four launches in a single month.
101,2020-12-06,2020,16:17:08,1,Success,KSC,28.608954234362187,-80.60429756306883,16,KSC,SpaceX CRS-21,2972.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-B5,F9 B5 ♺,Success,First launch of phase 2 of the CRS contract of six launches awarded in January 2016.[593] It was the first launch of the upgraded version Cargo Dragon 2 spacecraft with increased payload capacity and autonomous docking to the ISS. Payloads included Nanoracks Bishop Airlock[594] and CFIG-1 (Cool Flames Investigation with Gases).[595] It's also the 100th successful Falcon 9 launch.
102,2020-12-13,2020,17:30:00,1,Success,CCSFS,28.563197,-80.57682,17,CCSFS,SXM-7,7000.0,GTO,Sirius XM,Sirius XM,Private,Communications,North America,USA,F9-B5,F9 B5 ♺,Success,Launched the largest high-power broadcasting satellite for SiriusXM's digital audio radio service (DARS). SXM-7 was built by Maxar Technologies; intended to operate in the S-band spectrum it will replace the SXM-3 satellite. The satellite will deliver the highest power density of any commercial satellite on-orbit[598] generate more than 20 kW of power and have a large unfoldable antenna reflector which enables broadcast to radios without the need for large dish-type antennas on the ground. Due to the heavy weight the payload was injected into a sub-synchronous orbit of 224 km × 19411 km (139 mi × 12061 mi) and the satellite itself will transfer to full GTO.[599] It was the first time a commercial primary payload flew on a booster which had been flown more than 4 times before.[600] First dedicated customer launch where the fairings were previously used.[601]
103,2020-12-19,2020,14:00:00,1,Success,KSC,28.608954234362187,-80.60429756306883,14,KSC,NROL-108,,LEO,NRO,NRO,Government,Defense,North America,USA,F9-B5,F9 B5 ♺,Success,The planned launch was not known by the public until FCC filings appeared in late September followed by confirmation from the NRO on 5 October 2020 likely a relatively light payload that allows the return of the booster to the launch site.[603]
104,2021-01-08,2021,02:15:00,1,Success,CCSFS,28.563197,-80.57682,2,CCSFS,Türksat 5A,3500.0,GTO,Türksat,Türksat,Private,Communications,Europe,Turkey,F9-B5,F9 B5,Success,A 3500  (7700 lb) satellite intended to be stationed at 31.0° east.[607] This is the most powerful satellite in Türksat's fleet[608] and will provide Ku-band television broadcast services over Turkey the Middle East Europe and Africa. The satellite was injected in to a Super-synchronous transfer orbit of 280 km × 55000 km (170 mi × 34180 mi) with 17.6° inclination.[609]
105,2021-01-20,2021,13:02:22,1,Success,KSC,28.608954234362187,-80.60429756306883,13,KSC,Starlink,15600.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5B1,F9 B5B1051.8,Success,The first booster to successfully launch and land eight times. Achieved a record turnaround time between two launches of the same booster of only 38 days and brought the total of launched Starlink satellites to over 1000.[612] SpaceX stated that the landing would occur during higher winds than usual; this test to expand the landing envelope was successfully passed by the booster.[613]
106,2021-01-24,2021,15:00:00,1,Success,CCSFS,28.563197,-80.57682,15,CCSFS,,5000.0,SSO,Various,Various,Private,All,North America,USA,F9-B5B1,F9 B5B1058.5,Success,First dedicated smallsat rideshare launch targeting a 525 km (326 mi) altitude orbit.[616] The launch deployed a record 143 satellites consisting of 120 CubeSats 11 microsatellites 10 Starlinks and 2 transfer stages. In addition 2 hosted payloads and 1 non-separating dummy satellite[617] were launched.[618] These include SpaceBEE (x 36) Lemur-2  (x 8) ICEYE (x 3) UVSQ-SAT[619] ELaNa 35 (PTD-1)[381] and Kepler nanosats (x 8).[620][621] D-Orbit ION Satellite Carrier and 10 Starlink satellites made for testing optical laser inter-satellite links placed in a polar orbit[622] and 2 of 15 payloads remained attached to SHERPA-FX1. Exolaunch deployed several small satellites and cubesats via their own deployment mechanisms. First flight of a Falcon 9 with a SHERPA-FX transfer stage called SHERPA-FX1.[623][624]
107,2021-02-04,2021,06:19:00,1,Success,CCSFS,28.563197,-80.57682,6,CCSFS,Starlink,15600.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5,F9 B5 ♺,Success,This marked the fastest turnaround to date at 27 days and the first time a Falcon 9 flies twice within a month.[627]
108,2021-02-16,2021,03:59:37,0,Success,CCSFS,28.563197,-80.57682,3,CCSFS,Starlink,15600.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5,F9 B5 ♺,Failure,A hole in a heat-shielding engine cover which likely developed through fatigue allowed recirculating hot exhaust gases to damage one of the Merlin 1D first-stage engines causing it to shut down early during ascent. Engine-out capability of the Falcon 9 allowed the mission to continue and successfully deploy the 60 Starlink satellites to orbit.[630] The issue caused the booster to fail its landing attempt and miss the droneship Of Course I Still Love You (OCISLY) after its entry burn breaking the longest streak of 24 landing successes (since surpassed).[631] During this mission GO Ms. Tree and GO Ms. Chief were used for the last time to recover the fairings;[632][633] SpaceX retired the fairing catching program in favor of fairing fishing.[634] Both fairing catching ships were retired from SpaceX use.
109,2021-03-04,2021,08:24:54,1,Success,KSC,28.608954234362187,-80.60429756306883,8,KSC,Starlink,15600.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5,F9 B5 ♺,Success,Launch had previously been postponed multiple times causing the payload Starlink L17 to launch after the L18 and L19 missions. Featured for the first time a fairing which was flying on its fourth flight.[637] The second-stage deorbit burn failed causing an uncontrolled reentry on 26 March 2021 over the west coast of the United States.[638]
110,2021-03-11,2021,08:13:29,1,Success,CCSFS,28.563197,-80.57682,8,CCSFS,Starlink,15600.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5,F9 B5 ♺,Success,Twentieth operational launch of Starlink satellites bringing the total to 1265 (including prototypes) launched Starlink satellites.[641]
111,2021-03-14,2021,10:01:26,1,Success,KSC,28.608954234362187,-80.60429756306883,10,KSC,Starlink,15600.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5,F9 B5 ♺,Success,First time a first-stage booster flew and landed for the ninth time. This flight also marked the fastest turnaround time for a fairing half at 49 days. Both fairing halves previously flew on the Transporter-1 mission.[643]
112,2021-03-24,2021,08:28:24,1,Success,CCSFS,28.563197,-80.57682,8,CCSFS,Starlink,15600.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5B1,F9 B5B1060.6,Success,"Fairing ""wet recovery"" achieved by contracted recovery vessel Shelia Bordelon for the first time. Both fairing halves were retrieved from the water.[646]"
113,2021-04-07,2021,16:34:18,1,Success,CCSFS,28.563197,-80.57682,16,CCSFS,Starlink,15600.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5,F9 B5 ♺,Success,23rd operational launch of Starlink satellites bringing the total to 1385 launched Starlink satellites (including prototype). This launch featured the second fastest booster turnaround time at 27 days and 8 hours (after Starlink 18 with B1060.5 which was 4 hours faster).[647]
114,2021-04-23,2021,09:49:02,1,Success,KSC,28.608954234362187,-80.60429756306883,9,KSC,Crew-2,13000.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-B5B1,F9 B5B1061.2,Success,Second operational flight of Crew Dragon for Commercial Crew Program. Transported NASA astronauts Shane Kimbrough and Megan McArthur JAXA Astronaut Akihiko Hoshide and ESA astronaut Thomas Pesquet to the ISS.[651] The four astronauts will spend 6 months aboard the ISS. Beginning with the Crew-2 mission NASA has modified the contract to allow NASA astronauts to use flight-proven Dragon capsules and booster.[652] Thus SpaceX reflew the Dragon used on Demo-2 and used Booster B1061-2 which had been used to launch Crew-1 in November 2020.
115,2021-04-29,2021,03:44:30,1,Success,CCSFS,28.563197,-80.57682,3,CCSFS,Starlink,15600.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5B1,F9 B5B1060.7,Success,24th operational launch of Starlink satellites bringing the total to 1434 Starlink satellites still in orbit. This launch also paid tribute to Apollo 11 crew Michael Collins who died hours before the launch.[655]
116,2021-05-04,2021,19:01:07,1,Success,KSC,28.608954234362187,-80.60429756306883,19,KSC,Starlink,15600.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5B1,F9 B5B1049.9,Success,25th operational launch of Starlink satellites bringing the total to 1494 Starlink satellites still in orbit second time a booster flew for the ninth time.
117,2021-05-09,2021,06:42:45,1,Success,CCSFS,28.563197,-80.57682,6,CCSFS,Starlink,15600.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5B1,F9 B5B1051.10,Success,This was the first time a booster flew 10 times. Brought the total number of operational Starlink satellites in the first shell to approximately 1516 out of a planned 1584.[660]
118,2021-05-15,2021,22:56:00,1,Success,KSC,28.608954234362187,-80.60429756306883,22,KSC,Starlink,14000.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5B1,F9 B5B1058.8,Success,"Rideshare launch with a targeted orbit at 569x582 significantly higher than typical Starlink launches to allow for needs of the rideshare payloads.[665] Fairing ""wet recovery"" done by contracted recovery vessel Shelia Bordelon for the last time."
119,2021-05-26,2021,18:59:35,1,Success,CCSFS,28.563197,-80.57682,18,CCSFS,Starlink,15600.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5B1,F9 B5B1063.2,Success,Will likely complete the first shell of the Starlink network located at 550 km altitude and containing 1584 satellites.[665] It was 40th launch a fairing was reused with one half being used for the 5th time (first fairing to do so) and the other for a 3rd time.[668] This launch marks SpaceX's 100th successful launch in a row without in-flight failure since December 2015.
120,2021-06-03,2021,17:29:17,1,Success,KSC,28.608954234362187,-80.60429756306883,17,KSC,SpaceX CRS-22,3328.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-B5B1,F9 B5B1067.1,Success,Second of a minimum of six new cargo missions under the CRS-2 contract which NASA awarded SpaceX in 2015. Mission was flown with an uncrewed Dragon 2 capsule[671] which carried solar panels catalytic reactor for the station's life support system an emergency air supply system Kurs remote control unit and a Potable Water Dispense (PWD) filter. Also carried were the RamSat cubesat as payload for ELaNa 36[672] the SOAR cubesat for the University of Manchester[673] and the first Mauritian satellite MIR-SAT1[674] to be launched from the station later. This was the last mission the Of Course I Still Love You droneship supported on the east coast[675] since SpaceX plans to launch Starlink satellites from the West Coast starting in July which will require a droneship landing. OCISLY will be replaced by the new A Shortfall Of Gravitas droneship later this summer.[676]
121,2021-06-06,2021,04:26:00,1,Success,CCSFS,28.563197,-80.57682,4,CCSFS,SXM-8,7000.0,GTO,Sirius XM,Sirius XM,Private,Communications,North America,USA,F9-B5,F9 B5,Success,A large high-power broadcasting satellite for SiriusXM's digital audio radio service (DARS) contracted together with SXM-7 to replace the aging XM-4 satellite and allow broadcast to radios without the need for large dish-type antennas on the ground.[600][679]
122,2021-06-17,2021,16:09:35,1,Success,CCSFS,28.563197,-80.57682,16,CCSFS,GPS III,4331.0,MEO,USSF,USSF,Government,Defense,North America,USA,F9-B5B1,F9 B5B1062.2,Success,"Manufacturing contract awarded February 2013.[683] In March 2018 the Air Force announced it had awarded the launch contract for three GPS satellites to SpaceX.[684] This is the first reused booster launch for a 'national security' mission.[685] Fairing ""wet recovery"" was attempted by contracted recovery vessel Hos Briarwood for the first time. Both fairing halves were retrieved from water.[686][687]"
123,2021-06-30,2021,19:31:00,1,Success,CCSFS,28.563197,-80.57682,19,CCSFS,,,SSO,Various,Various,Private,All,North America,USA,F9-B5,F9 B5,Success,"A total of 88 payloads including prototype Starlink v1.5 satellites made for testing optical laser inter-satellite links[690](3x) Polar Vigilance (4x) Exolaunch YAM-2 & 3 Satellogic[691] Capella-5[692] HawkEye Cluster 3 (multiple sats) Spaceflight Industries (multiple sats including on two space tugs Sherpa-FX2 Sherpa-LTE1).[688] LINCS 1 and 2 were reported to be tumbling uncontrolled due to ""an issue with the launch vehicle"".[693]"
124,2021-08-29,2021,07:14:49,1,Success,KSC,28.608954234362187,-80.60429756306883,7,KSC,SpaceX CRS-23,2200.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-B5,F9 B5,Success,Third of six new cargo missions NASA awarded in 2015 to SpaceX under the CRS-2 contract to be flown after the initial 20 missions of phase 1 were completed in 2020.[671] Includes FBCE SoFIE. First time a booster landed on SpaceX's fourth droneship A Shortfall Of Gravitas (ASOG)[695][696] marking the first use when SpaceX has three droneships in operation.
125,2021-09-14,2021,03:55:50,1,Success,VSFB,34.445388,-120.31541,3,VSFB,Starlink,13260.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5B1,F9 B5B1049.10,Success,"First launch of Starlink satellites from Vandenberg Space Force Base and first West coast launch in 10 months. The 70-degree inclination launch is the first Starlink launch into a high-inclination non-SSO orbit.[665] The satellites were the upgraded and operational 1.5 version that featured ""laser inter-satellite links which are needed for high latitudes & mid ocean coverage"".[699] It was the second booster to make a tenth flight and landing."
126,2021-09-16,2021,00:02:56,1,Success,KSC,28.608954234362187,-80.60429756306883,0,KSC,Inspiration4,12519.0,LEO,Jared Isaacman,Jared Isaacman,Private,Individual,North America,USA,F9-B5B1,F9 B5B1062.3,Success,SpaceX signed in February 2021 its first all-civilian flight for a crewed spacecraft with Jared Isaacman (Leadership) founder and CEO of Shift4 Payments who commands and pilots the mission and who donated the three other seats in the Crew Dragon vehicle's launch to LEO. The first of these three seats (Generosity) was won by Christopher Sembroski in a lottery who donated to St. Jude Children's Research Hospital the second seat (Hope) was awarded to Hayley Arceneaux an ambassador associated with that hospital and the third seat (Prosperity) was awarded to Sian Proctor the winner of a contest between entrepreneurs who use Shift4Shop. The seats were awarded on 30 March 2021.[705][706] The mission reached a circular orbit of about 585 km and lasted about three days. The docking adapter of Crew Dragon Resilience was replaced by a dome window.[707][708][709]
127,2021-11-11,2021,02:03:31,1,Success,KSC,28.608954234362187,-80.60429756306883,2,KSC,Crew-3,13000.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-B5B1,F9 B5B1067.2,Success,SpaceX's third operational Crew Dragon flight carried NASA astronauts Thomas Marshburn Kayla Barron and Raja Chari as well as German ESA astronaut Matthias Maurer.[713] It also carried up to 100  (220 lb) of cargo to the ISS.[497]
128,2021-11-13,2021,12:19:00,1,Success,CCSFS,28.563197,-80.57682,12,CCSFS,Starlink,15635.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5B1,F9 B5B1058.9,Success,"First east-coast Starlink launch after the v1.0 L28 launch which completed the first shell of the Starlink network located at 550 km altitude. Fairing ""wet recovery"" was attempted by SpaceX multipurpose ship Bob for the first time and both fairing halves were retrieved from water.[717][686]"
129,2021-11-24,2021,06:21:00,1,Success,VSFB,34.445388,-120.31541,6,VSFB,Double Asteroid Redirection Test (DART),624.0,Heliocentric,NASA,NASA,Government,Aerospace,North America,USA,F9-B5B1,F9 B5B1063.3,Success,Dart mission will measure the kinetic effects of crashing an impactor into the surface of the moon of 65803 Didymos asteroid. It is the first mission aiming to demonstrate asteroid redirect capability[721] and the first NASA scientific mission using a previously flown booster.[722] The launch contract was awarded to SpaceX for $69 million.[723]
130,2021-12-02,2021,23:12:00,1,Success,CCSFS,28.563197,-80.57682,23,CCSFS,Starlink,14500.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5B1,F9 B5B1060.9,Success,This mission carried 48 Starlink satellites[727] and two BlackSky Gen-2 satellites (numbered 12 and 13)[728] as rideshare payloads. The BlackSky satellites were released prior to the Starlink deployment to a 435x425 km orbit at 53.2° inclination.[729]
131,2021-12-09,2021,06:00:00,1,Success,KSC,28.608954234362187,-80.60429756306883,6,KSC,Imaging X-ray Polarimetry Explorer,325.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-B5,F9 B5,Success,SMEX 14 mission with three identical NASA telescopes on a single spacecraft designed to measure X-rays. The launch contract was awarded to SpaceX for US$50.3 million[731] and is the smallest dedicated payload ever launched by Falcon 9 launch vehicle.[732] However the required exact equatorial orbit required an orbital plane change that meant an approximately 30% of Falcon 9's maximum theoretical performance for such an orbital profile (1.5-2 tons).[733]
132,2021-12-18,2021,12:41:00,1,Success,VSFB,34.445388,-120.31541,12,VSFB,Starlink,15600.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5,F9 B5,Success,First West coast and third overall 53.2-degree inclination Starlink launch. First time a Falcon 9 first stage booster flew for an eleventh time.
133,2021-12-19,2021,03:58:00,1,Success,CCSFS,28.563197,-80.57682,3,CCSFS,Türksat 5B,4500.0,GTO,Türksat,Türksat,Private,Communications,Europe,Turkey,F9-B5,F9 B5,Success,The first GTO satellite partially built in Turkey the 4500  (9900 lb) satellite is intended to be placed at 42.0° east.[738] By launching at the opening of the Turksat-5B window SpaceX set a new record for the shortest time between two Falcon 9 launches at 15 hours and 17 minutes. The previous record time was 44 hours and 17 minutes set between the Starlink Group 2-1 and Inspiration4 missions.[739]
134,2021-12-21,2021,10:06:00,1,Success,KSC,28.608954234362187,-80.60429756306883,10,KSC,SpaceX CRS-24,2989.0,LEO,NASA,NASA,Government,Aerospace,North America,USA,F9-B5,F9 B5,Success,Fourth of six new cargo missions NASA awarded in 2015 to SpaceX under the CRS-2 contract to be flown after the initial 20 missions of phase 1 were completed in 2020.[671] The ELaNa 38 mission consisting of 4 cubesats launched on this flight.[742] SpaceX achieved the feat of 100 successful orbital rocket booster landings in this mission coinciding with the 6th anniversary of its first booster landing. After the successful landing both the booster and the Octagrabber robot were heavily damaged while in transit due to rough seas and the fact that the Octagrabber could not secure the booster to the deck.
135,2022-01-06,2022,21:49:00,1,Success,KSC,28.608954234362187,-80.60429756306883,21,KSC,Starlink,14500.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5,F9 B5,Success,In a change from previous Starlink missions the Falcon 9 rocket flew southeast from the coast of Florida on a course just north of the Bahamas via a plane change maneuver to line up with the proper orbital plane for the Starlink satellites.[746] SpaceX's previous launches carrying Starlink satellites to a similar orbit have flown northeast from Florida's Space Coast. SpaceX claims that the change in trajectory from the northeast to the southeast is intended to increase odds of good booster and fairing recovery conditions for Starlink launches in the winter months.[743]
136,2022-01-13,2022,15:25:38,1,Success,CCSFS,28.563197,-80.57682,15,CCSFS,,,SSO,Various,Various,Private,All,North America,USA,F9-B5,F9 B5,Success,Dedicated SmallSat Rideshare mission to Sun-synchronous orbit. A total of 105 payloads including Ukrainian Sich-2-1 (2-30) Cappella (×2) Kepler (×4) Planet Labs SuperDoves (×44) ICEYE (×2) and D-Orbit ION (multiple satellites including VZLUSAT-2 earlier scheduled to be launched onboard Spaceflight's Sherpa LTC-1 but then integrated at the last minute before launch as the company teamed up with D-Orbit).
137,2022-01-19,2022,02:02:40,1,Success,KSC,28.608954234362187,-80.60429756306883,2,KSC,Starlink,14500.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5,F9 B5,Success,An east-coast Starlink network launch for 53.2° inclination orbit located at 550 km altitude. Second Starlink launch where SpaceX has significantly customized a Starlink launch trajectory to optimize for booster recovery after Starlink Group 4–5.[750]
138,2022-01-31,2022,23:11:00,1,Success,CCSFS,28.563197,-80.57682,23,CCSFS,CSG-2,2205.0,SSO,ASI,ASI,Government,Aerospace,Europe,Italy,F9-B5,F9 B5,Success,Second COSMO-SkyMed 2nd Generation satellite. Originally scheduled to launch in 2021 on an Arianespace Vega-C launch vehicle resulting delays caused by the pandemic and two Vega launch failures led to ASI purchasing a Falcon 9 launch contract in September 2021 for the 2.2 ton satellite. First launch of a converted Falcon 9 that was previously used as a FH side booster.[752][753]
139,2022-02-02,2022,20:27:00,1,Success,VSFB,34.445388,-120.31541,20,VSFB,NROL-87,,SSO,NRO,NRO,Government,Defense,North America,USA,F9-B5,F9 B5,Success,Classified payload. The contract requirements for this launch called for a 512 km Sun-synchronous orbit at 97.4° inclination.[756]
140,2022-02-03,2022,18:13:00,1,Success,KSC,28.608954234362187,-80.60429756306883,18,KSC,Starlink,14500.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5,F9 B5,Success,A fairing half on this mission was flown and recovered for a record 6th time. A G2-rated geomagnetic storm on 4 February significantly increased the atmospheric density at the initial deployment orbit resulting in 38 satellites reentering over the following eight days.[758][759]
141,2022-02-21,2022,14:44:00,1,Success,CCSFS,28.563197,-80.57682,14,CCSFS,Starlink,13600.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5,F9 B5,Success,Mission was the first Group 4 mission to feature 2 upper stage burns like v1.0 Starlink launches with deployment of the 46 satellites approximately 1 hour after lift-off into a higher circular orbit. This is aimed at reducing the risk of high drag that caused 38 of the Group 4-7 satellites to fail reaching their intended orbits and instead reenter shortly after launch.[762]
142,2022-02-25,2022,17:12:00,1,Success,VSFB,34.445388,-120.31541,17,VSFB,Starlink,14750.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5B1,F9 B5B1063.4,Success,150th launch of a Falcon family rocket.
143,2022-03-03,2022,14:25:00,1,Success,KSC,28.608954234362187,-80.60429756306883,14,KSC,Starlink,13900.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5B1,F9 B5B1060.11,Success,An east-coast Starlink network launch for 53.2° inclination orbit located at 550 km altitude. First time one of SpaceX multipurpose ships Bob retrieved both fairing halves and towed the droneship and the falcon booster on its return journey to Port Canaveral.
144,2022-03-09,2022,13:45:00,1,Success,CCSFS,28.563197,-80.57682,13,CCSFS,Starlink,14160.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5B1,F9 B5B1052.4,Success,This was the 40th Starlink launch.
145,2022-03-19,2022,03:24:00,1,Success,CCSFS,28.563197,-80.57682,3,CCSFS,Starlink,16250.0,LEO,SpaceX,SpaceX,Private,Aerospace,North America,USA,F9-B5B1,F9 B5B1051.12,Success,First time a Falcon 9 first stage booster flew and landed for the twelfth time. Heaviest Falcon 9 payload to a LEO orbit.
